Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
  (6998) Tithonus          3108 T-3    L5    4.810   5.548  11.46  20201217  308.62  259.0   35.2    1.7  0.071   5.179    27     MPO593209
  (7119) Hiera             1989 AV2    L4    4.599   5.670   9.85  20201217  309.27  122.7  285.5   19.3  0.104   5.135    27     MPO593211
  (7152) Euneus            1973 SH1    L4    4.822   5.486  10.35  20201217  311.91  306.5  113.0    3.7  0.064   5.154    27     MPO593212
  (7214) Anticlus          1973 SM1    L4    5.009   5.366  11.76  20201217  347.18  215.5  195.5   13.4  0.034   5.187    24     MPO593213
  (7352)                   1994 CO     L5    4.934   5.322  10.02  20201217  341.03  127.3  130.3    8.2  0.038   5.128    27     MPO593215
  (7543) Prylis            1973 SY     L4    4.865   5.529  10.72  20201217  344.78  206.8  195.6   14.1  0.064   5.197    28     MPO593218
  (7641)                   1986 TT6    L4    4.936   5.494   9.58  20201217  255.89  227.6  242.1   34.7  0.053   5.215    25     MPO593220
  (7815) Dolon             1987 QN     L5    4.957   5.583  10.32  20201217  230.00  218.3  147.5   20.4  0.059   5.270    27     MPO593223
  (8060) Anius             1973 SD1    L4    4.719   5.680  10.95  20201217  350.86   33.3    6.3    7.1  0.092   5.199    25     MPO593228
  (8125) Tyndareus         5493 T-2    L4    4.943   5.440  10.88  20201217   17.09   57.0  323.1   13.1  0.048   5.192    28     MPO593229
  (8241) Agrius            1973 SE1    L4    4.929   5.377  11.30  20201217  103.24  265.2   22.7    4.3  0.044   5.153    25     MPO593231
  (8317) Eurysaces         4523 P-L    L4    5.058   5.552  11.14  20201217   62.36  115.1  208.1    0.9  0.047   5.305    28     MPO593232
  (9023) Mnesthus          1988 RG1    L5    4.879   5.561  10.26  20201217  274.26  158.8  159.9   23.9  0.065   5.220    31     MPO593245
  (9030)                   1989 UX5    L5    5.210   5.395  11.16  20201217  175.52   17.9   76.7    4.2  0.017   5.302    26     MPO593245
  (9142) Rhesus            5191 T-3    L5    4.489   5.840  10.69  20201217  282.95  173.5  141.2   12.8  0.131   5.164    27     MPO593247
  (9430) Erichthonios      1996 HU10   L5    4.976   5.551  11.35  20201217  319.90  311.0  326.4    1.0  0.055   5.263    25     MPO593252
  (9431)                   1996 PS1    L4    4.673   5.559  10.69  20201217  341.06  185.2  201.5   21.3  0.087   5.116    24     MPO593252
  (9590)                   1991 DK1    L4    4.899   5.305  11.99  20201217  147.67  192.5   28.9    6.7  0.040   5.102    24     MPO593255
  (9694) Lycomedes         6581 P-L    L4    4.892   5.280  10.76  20201217  308.43   57.6  350.0    5.0  0.038   5.086    24     MPO593257
  (9712) Nauplius          1973 SO1    L4    4.563   5.899  10.94  20201217  278.52  274.1  176.6    8.5  0.128   5.231    26     MPO593257
  (9713) Oceax             1973 SP1    L4    4.892   5.455  11.32  20201217  256.62  313.0  156.0    4.2  0.054   5.174    25     MPO593257
  (9790)                   1995 OK8    L4    4.949   5.537  11.02  20201217  340.51  151.9  231.2    5.9  0.056   5.243    25     MPO593259
  (9799)                   1996 RJ     L4    4.938   5.440   9.73  20201217  353.22  114.8  259.6   30.5  0.048   5.189    23     MPO593259
  (9807)                   1997 SJ4    L4    4.403   6.015  11.45  20201217  302.20  197.1  232.5    5.0  0.155   5.209    21     MPO593259
  (9817) Thersander        6540 P-L    L4    5.041   5.480  11.53  20201217  250.18   80.6   24.3    9.2  0.042   5.260    23     MPO593259
  (9818) Eurymachos        6591 P-L    L4    5.180   5.220  11.09  20201217  240.09   97.6   18.5    7.5  0.004   5.200    28     MPO593259
  (9828) Antimachos        1973 SS     L4    4.747   5.626  11.95  20201217  264.39   19.8   97.1    3.2  0.085   5.187    23     MPO593259
  (9857)                   1991 EN     L4    5.019   5.295  10.37  20201217   92.36    5.5  289.4   19.6  0.027   5.157    24     MPO593260
  (9907) Oileus            6541 P-L    L4    4.917   5.641  11.62  20201217  299.94  263.4  153.7    8.2  0.069   5.279    26     MPO593261
 (10247) Amphiaraos        6629 P-L    L4    5.237   5.309  11.18  20201217  275.38  332.3  162.5    4.2  0.007   5.273    26     MPO593267
 (10664) Phemios           5187 T-2    L4    5.034   5.351  11.39  20201217  282.06  232.9  240.1    8.6  0.030   5.192    27     MPO593274
 (10989) Dolios            1973 SL1    L4    4.719   5.622  11.38  20201217  343.40  206.6  187.3   10.6  0.087   5.170    24     MPO593279
 (11089)                   1994 CS8    L5    5.078   5.291  10.73  20201217   82.86   20.4  120.1    6.9  0.021   5.185    28     MPO593281
 (11251) Icarion           1973 SN1    L4    5.157   5.174  12.03  20201217  126.34  151.2  102.0    4.2  0.002   5.166    24     MPO593284
 (11252) Laertes           1973 SA2    L4    4.979   5.300  10.69  20201217  322.41  326.7   78.3    5.9  0.031   5.140    23     MPO593284
 (11273)                   1988 RN11   L5    4.700   5.691  11.63  20201217  352.26   56.6  171.6    1.4  0.095   5.196    27     MPO593284
 (11275)                   1988 SL3    L5    4.724   5.663  11.66  20201217  274.80  217.4  122.6   25.2  0.090   5.193    26     MPO593284
 (11351) Leucus            1997 TS25   L4    4.952   5.637  10.90  20201217  339.82  160.2  251.1   11.6  0.065   5.294    23     MPO593286
 (11395)                   1998 XN77   L4    4.859   5.566   9.96  20201217   38.50  119.1  213.2   24.1  0.068   5.213    25     MPO593287
 (11396)                   1998 XZ77   L4    4.875   5.551  10.65  20201217  359.82  177.3  195.7   12.6  0.065   5.213    29     MPO593287
 (11397)                   1998 XX93   L4    4.930   5.583  10.25  20201217  349.28  151.1  261.2   21.0  0.062   5.256    25     MPO593287
 (11428) Alcinoos          4139 P-L    L4    5.255   5.403  11.16  20201217  313.23   56.1    3.3   17.3  0.014   5.329    27     MPO593287
 (11429) Demodokus         4655 P-L    L4    5.083   5.402  10.49  20201217  255.52   89.0    6.2   17.1  0.030   5.242    25     MPO593287
 (11487)                   1988 RG10   L5    4.902   5.395  11.29  20201217  264.16    6.5  342.4    3.5  0.048   5.148    28     MPO593288
 (11488)                   1988 RM11   L5    4.998   5.357  11.42  20201217  249.11  233.6  140.6    3.4  0.035   5.178    25     MPO593288
 (11509) Thersilochos      1990 VL6    L5    4.435   5.919  10.26  20201217  266.52  128.3  214.7   18.5  0.143   5.177    25     MPO593289
 (11552) Boucolion         1993 BD4    L5    4.466   6.076  10.20  20201217  302.04  182.2  138.4   14.7  0.153   5.271    24     MPO593289
 (11554) Asios             1993 BZ12   L5    4.934   5.612  10.58  20201217    3.79  126.7  128.1   13.7  0.064   5.273    24     MPO593289
 (11663)                   1997 GO24   L5    4.478   5.792  10.94  20201217  291.08   88.9  226.0   14.5  0.128   5.135    24     MPO593291
 (11668) Balios            1997 VV1    L4    4.416   5.899  11.51  20201217  327.33   15.3   19.9    4.7  0.144   5.158    22     MPO593291
 (11869)                   1989 TS2    L5    5.009   5.462  11.53  20201217  289.41  158.8  149.7   11.3  0.043   5.235    24     MPO593295
 (11887) Echemmon          1990 TV12   L5    4.704   5.659  10.85  20201217  255.86  111.4  242.6   24.0  0.092   5.182    28     MPO593295
 (12052) Aretaon           1997 JB16   L5    4.868   5.594  10.64  20201217  278.76   86.6  219.8   11.5  0.069   5.231    25     MPO593298
 (12054)                   1997 TT9    L4    4.821   5.481  11.84  20201217  308.66   40.0   44.5   10.1  0.064   5.151    22     MPO593298
 (12126)                   1999 RM11   L5    4.125   6.312  10.14  20201217  302.07  304.3  351.0    2.0  0.210   5.219    30     MPO593299
